archivo,mejor_radio,area,filled_volume,num_atm,mean_distance
outputs.dump/key_area_25.dump,9,296.6468363032744,385.3427089584576,36,4.787226543341814
outputs.dump/key_area_26.dump,9,296.646836303274,385.3427089584578,36,4.787226543341813
outputs.dump/key_area_27.dump,10,296.6468363032744,385.34270895845754,36,4.787226543341815
outputs.dump/key_area_28.dump,9,296.64683630327414,385.34270895845737,36,4.787226543341815
outputs.dump/key_area_29.dump,10,296.64683630327437,385.34270895845793,36,4.787226543341814
outputs.dump/key_area_30.dump,9,296.6468363032741,385.342708958457,36,4.787226543341813
outputs.dump/key_area_31.dump,10,296.6468363032741,385.34270895845725,36,4.787226543341813
outputs.dump/key_area_32.dump,9,296.6468363032741,385.3427089584584,36,4.787226543341813
outputs.dump/key_area_33.dump,10,296.6468363032741,385.34270895845776,36,4.78722654334181
outputs.dump/key_area_34.dump,10,296.64683630327403,385.342708958458,36,4.787226543341813
outputs.dump/key_area_35.dump,9,296.64683630327386,385.3427089584578,36,4.787226543341813
outputs.dump/key_area_36.dump,9,296.64683630327414,385.3427089584576,36,4.787226543341815
outputs.dump/key_area_37.dump,9,296.64683630327426,385.34270895845737,36,4.787226543341813
outputs.dump/key_area_38.dump,9,296.6468363032743,385.3427089584576,36,4.787226543341815
outputs.dump/key_area_39.dump,9,296.64683630327437,385.3427089584576,36,4.787226543341813
outputs.dump/key_area_40.dump,9,296.64683630327414,385.3427089584574,36,4.787226543341815
outputs.dump/key_area_41.dump,9,296.64683630327437,385.3427089584573,36,4.787226543341813
outputs.dump/key_area_42.dump,9,296.6468363032744,385.34270895845805,36,4.787226543341816
outputs.dump/key_area_43.dump,9,296.6468363032736,385.3427089584561,36,4.7872265433418075
outputs.dump/key_area_44.dump,9,296.64683630327414,385.3427089584575,36,4.787226543341813
outputs.dump/key_area_45.dump,9,296.6468363032742,385.3427089584574,36,4.787226543341813
outputs.dump/key_area_46.dump,9,296.64683630327454,385.3427089584581,36,4.7872265433418155
outputs.dump/key_area_47.dump,9,296.6468363032742,385.3427089584574,36,4.787226543341814
outputs.dump/key_area_48.dump,10,296.646836303274,385.34270895845793,36,4.787226543341813
outputs.dump/key_area_49.dump,10,296.64683630327403,385.34270895845685,36,4.787226543341812
outputs.dump/key_area_50.dump,9,296.64683630327437,385.342708958458,36,4.787226543341814
outputs.dump/key_area_51.dump,9,296.6468363032742,385.3427089584578,36,4.787226543341815
outputs.dump/key_area_52.dump,9,296.64683630327386,385.342708958457,36,4.787226543341813
outputs.dump/key_area_53.dump,9,296.6468363032738,385.3427089584573,36,4.787226543341811
outputs.dump/key_area_54.dump,9,296.64683630327454,385.3427089584583,36,4.787226543341817
outputs.dump/key_area_55.dump,9,296.64683630327363,385.3427089584562,36,4.787226543341808
outputs.dump/key_area_56.dump,9,296.6468363032742,385.3427089584573,36,4.787226543341813
outputs.dump/key_area_57.dump,9,296.64683630327403,385.3427089584571,36,4.787226543341813
outputs.dump/key_area_58.dump,9,296.64683630327374,385.3427089584574,36,4.787226543341809
outputs.dump/key_area_59.dump,9,296.64683630327414,385.3427089584574,36,4.787226543341815
outputs.dump/key_area_60.dump,10,296.6468363032735,385.3427089584561,36,4.787226543341809
outputs.dump/key_area_61.dump,9,296.6468363032737,385.34270895845594,36,4.7872265433418075
outputs.dump/key_area_62.dump,10,296.64683630327465,385.3427089584581,36,4.787226543341815
outputs.dump/key_area_63.dump,9,296.6468363032742,385.34270895845754,36,4.787226543341814
outputs.dump/key_area_64.dump,9,296.6468363032736,385.34270895845606,36,4.7872265433418075
outputs.dump/key_area_65.dump,10,296.64683630327363,385.34270895845606,36,4.787226543341809
outputs.dump/key_area_66.dump,9,296.6468363032745,385.34270895845816,36,4.7872265433418155
outputs.dump/key_area_67.dump,9,296.646836303274,385.3427089584581,36,4.787226543341813
outputs.dump/key_area_68.dump,9,296.6468363032741,385.34270895845737,36,4.787226543341813
outputs.dump/key_area_69.dump,9,296.6468363032736,385.3427089584563,36,4.78722654334181
outputs.dump/key_area_70.dump,9,296.6468363032742,385.3427089584577,36,4.787226543341815
outputs.dump/key_area_71.dump,9,296.64683630327426,385.34270895845776,36,4.787226543341815
outputs.dump/key_area_72.dump,9,296.6468363032742,385.3427089584575,36,4.787226543341813
outputs.dump/key_area_73.dump,9,296.646836303274,385.3427089584572,36,4.787226543341813
outputs.dump/key_area_74.dump,9,296.6468363032742,385.3427089584575,36,4.787226543341814
outputs.dump/key_area_75.dump,10,296.64683630327374,385.3427089584563,36,4.7872265433418075
outputs.dump/key_area_76.dump,9,296.64683630327454,385.3427089584584,36,4.787226543341817
outputs.dump/key_area_77.dump,10,296.64683630327403,385.34270895845737,36,4.787226543341813
outputs.dump/key_area_78.dump,9,296.64683630327403,385.34270895845737,36,4.787226543341814
outputs.dump/key_area_79.dump,10,296.64683630327363,385.34270895845617,36,4.787226543341809
outputs.dump/key_area_80.dump,9,296.64683630327403,385.3427089584579,36,4.787226543341812
outputs.dump/key_area_81.dump,9,296.646836303274,385.342708958458,36,4.787226543341813
